time,phoneme,F1,F2,F3,,
7.849114056,/ɶ/,598.8242414,1535.469377,2054.017157,,
8.23211301,/e/,575.1995181,2322.274889,2959.567216,,
8.40063995,/ʌ/,749.7227965,2379.869471,2967.401147,,
8.470397712,/i/,476.5015536,2773.964779,3188.098043,,
8.617543841,/ɞ/,609.6980599,1782.221373,2997.991074,,
8.836376545,/ɤ/,498.7360547,1445.899021,2703.022666,,
9.060239887,/a/,909.9486579,1660.324472,3015.329898,,
9.336924915,/ɯ/,548.286892,1586.913675,3163.713706,,
9.538150391,/ʊ/,609.2362202,1818.792964,3074.474035,,
9.720510978,/a/,781.8828313,1171.099949,1630.064441,,
9.919221135,/a/,635.1839189,1328.40246,1956.220699,,
0.972980745,/ɶ/,569.1123051,1244.378002,2140.00071,,
1.33349259,/a/,856.5060614,1329.961488,1905.008143,,
1.656349425,/a/,710.3671373,981.4026966,1581.174119,,
1.857176139,/a/,817.7081569,1266.105402,1998.256869,,
1.953476511,/i/,577.8823621,1171.512938,2565.220233,,
2.194676589,/a/,882.1855963,1199.045417,1849.090672,,
3.206960175,/ɶ/,341.931715,855.4039994,2342.311826,,
3.454981368,/a/,878.3856989,1357.65434,2129.923554,,
3.711077669,/a/,811.8677416,1453.119404,1621.847526,,
3.906033863,/a/,739.4536561,1279.172405,1918.482354,,
3.979863427,/i/,624.9354292,2381.009645,3062.648715,,
4.151747882,/a/,871.2069027,1594.136704,2916.98817,,
5.321473278,/ɶ/,578.8887329,1292.067591,2910.825863,,
5.602948493,/a/,873.0248034,1335.15086,2139.573302,,
5.890191642,/a/,863.8941025,1385.607072,2748.160912,,
6.058615335,/a/,671.6795642,1138.015411,2151.759613,,
6.125523378,/i/,647.5283712,2384.289108,2947.526065,,
6.317018811,/a/,864.8010963,1708.607012,1769.553641,,
0.861804011,/a/,860.6850587,1307.635415,1746.158507,,
1.250350515,/a/,817.7867991,1206.483628,1521.921442,,
1.565663123,/ɞ/,437.9758611,773.1652853,1931.828083,,
1.786720994,/ɶ/,547.0055599,1722.98841,1866.674716,,
1.855208249,/i/,509.2066685,2217.024441,2878.928587,,
2.727126349,/a/,823.629801,1333.269489,1913.541374,,
3.160426901,/a/,808.732506,1274.298714,1702.140011,,
3.431663553,/ɞ/,532.7968398,1103.507221,1804.762536,,
3.666961348,/ɶ/,543.0772877,1942.855106,2927.84974,,
3.731380053,/i/,506.7093761,2047.781664,2134.175179,,
4.617076884,/a/,881.0092357,1337.045584,1803.428118,,
5.036624564,/a/,769.0759565,1271.517339,1885.913049,,
5.291269813,/ɞ/,504.960637,1467.480505,1738.446864,,
5.50889615,/ɶ/,506.1347208,1910.017559,2982.561286,,
5.568350767,/i/,518.0483545,2272.883784,2863.808915,,
0.907211976,/ɶ/,516.3939249,895.2218938,1768.853029,,
1.273160095,/i/,478.4108631,2783.757195,3135.09972,,
1.505457596,/u/,550.7241982,1023.009332,3105.485273,,
1.900045132,/ɒ/,526.001833,974.7435164,1019.185367,,
2.177953558,/a/,862.7292825,1111.935344,1153.913264,,
2.435708319,/a/,739.2079329,961.8912985,1497.148385,,
2.651034313,/a/,700.2369448,815.4391215,1623.061972,,
2.820749382,/a/,810.7171494,1445.25308,1969.167462,,
3.814026677,/ɶ/,615.9670349,1570.105375,2766.454887,,
4.186225947,/i/,633.6717418,2412.652218,2967.28167,,
4.356858856,/u/,523.1982444,1195.786786,2829.517449,,
4.729058125,/ɒ/,575.9569817,1061.308998,2912.12697,,
4.979519295,/a/,866.9300068,1467.564844,2986.810233,,
5.227984759,/a/,941.2076977,1071.685353,1622.297655,,
5.449541244,/a/,777.1907712,1386.04647,1902.106384,,
5.616149681,/a/,780.8066411,1371.760083,1888.308845,,
6.703118839,/ɶ/,620.9783715,1741.592088,2974.401825,,
7.069232108,/i/,630.8201156,2519.428204,3038.682141,,
7.246971745,/u/,456.8170015,988.8629092,2276.111249,,
7.620680724,/ɒ/,540.1702092,1055.976093,2877.515941,,
7.878934897,/a/,798.7754948,1342.759655,2786.246444,,
8.086316638,/a/,861.3140763,1382.953475,2771.081083,,
8.315006255,/a/,725.1711391,1682.013986,2867.704197,,
8.435018489,/a/,812.0533918,1493.368808,1639.069983,,
1.214501486,/a/,834.8722513,1282.003058,1808.807854,,
1.591261246,/e/,492.7657024,2573.106953,3125.894763,,
1.935564978,/u/,515.2165747,1264.030479,2796.399536,,
