time,phoneme,F1,F2,F3
1.932065623,/ɞ/,654.7071331,2215.493396,2562.823069
3.027891712,/a/,645.469337,985.9327505,1673.819374
3.342271498,/a/,622.9505787,952.3640894,1599.999543
3.964549517,/ɤ/,510.2202504,871.699406,1373.067111
4.018724267,/i/,258.7012426,601.24552,2644.559455
4.186531492,/a/,736.8866001,2217.32083,3078.910131
4.307545218,/ɞ/,584.2124105,773.0195412,2138.573335
5.266209763,/a/,654.3197511,970.3283146,1694.425682
5.550532244,/a/,540.1775146,937.7716905,1685.860704
6.074933349,/ɤ/,494.5054538,942.1178587,1545.958195
6.115740303,/i/,428.3170677,2061.88538,3074.413255
6.277838049,/a/,722.4763853,2321.696898,3214.343237
6.38900182,/ɞ/,588.430516,716.6110968,2346.655568
1.675569475,/a/,564.7299255,1176.379234,1521.624335
2.036113411,/ɞ/,399.4531928,842.7324912,1791.528665
2.18563229,/a/,835.937563,1227.436078,1878.29664
2.494436089,/a/,810.8557932,1547.213778,1919.629568
2.579516858,/ɪ/,509.6194222,2768.50585,3213.243068
3.148903544,/a/,596.7049865,2002.613612,2468.368162
3.249691532,/e/,352.0057049,2746.742247,3238.7239
3.447340704,/a/,573.611377,867.0646004,1970.655445
3.515405319,/e/,643.7822733,2578.571353,3290.758376
4.361902282,/a/,841.3414748,1263.090248,1680.128543
4.801704412,/ɞ/,440.6172562,1956.426996,3316.846215
5.000662518,/a/,781.4565624,1448.921949,1833.974132
5.320042636,/a/,840.2969243,1643.709286,2163.780975
5.457480802,/ɪ/,296.6222386,2814.631732,3133.556138
6.130273346,/a/,676.403923,1941.814053,2859.157346
6.221898789,/e/,428.7182548,2856.573088,3333.303836
6.423474765,/a/,848.0155071,1962.946328,3264.357959
6.50462873,/e/,527.8233789,2732.626076,3406.452177
7.257266303,/a/,811.5659903,1336.469908,1711.822166
7.644711036,/ɞ/,448.7922172,2053.434001,3542.1422
7.809636835,/a/,816.9779144,1031.545972,2067.289309
8.116821217,/a/,906.9931683,1804.691715,3239.535757
8.244434914,/ɪ/,383.0233479,2873.645882,3349.781182
8.845326658,/a/,475.2622765,696.6574888,2343.819721
8.961821865,/e/,449.0646104,2480.024821,3217.427644
9.128056598,/a/,772.2532022,1834.543897,3211.239008
9.206592693,/e/,551.715096,2601.605606,3209.27776
1.396523948,/a/,938.1288085,1552.809143,3181.405635
1.60319825,/ɤ/,518.637791,827.3504666,1571.993344
1.894948979,/e/,487.7912308,653.9550178,2560.61217
1.998172844,/a/,632.4558821,1193.613585,2317.99899
2.040437734,/ø/,567.9720358,860.3276044,2550.79941
2.219250728,/i/,345.7308591,604.0452247,2898.955342
2.384206788,/ɶ/,397.5119385,739.2872848,2535.944866
2.432161182,/i/,380.4944456,2853.710996,3255.922112
2.664485001,/u/,405.3524877,804.996618,1132.096339
3.566011678,/a/,944.2905531,1480.186786,1604.833278
3.810271295,/ɤ/,588.104859,796.7338377,1431.247412
4.205059142,/e/,492.1443619,1229.01596,2538.797969
4.350683361,/a/,663.8766652,1260.245605,2280.639959
4.389697105,/ø/,592.1678754,1348.886871,2591.741203
4.574295502,/i/,382.3818058,554.7875503,2743.425591
4.753448355,/ɶ/,396.3868873,896.9061573,2564.443583
4.809057684,/i/,375.6545174,2891.411354,3243.634889
5.024446064,/u/,341.991206,880.8143298,1246.600493
5.820271757,/a/,940.3078245,1388.348521,1590.043693
6.051915863,/ɤ/,637.9172819,1609.163423,1759.931286
6.459761969,/e/,552.8321319,952.7083351,2530.719296
6.624757596,/a/,498.4212432,569.5651755,2603.627625
6.699533939,/ø/,411.8739056,2827.746938,3313.022369
6.766955639,/i/,316.5081322,2514.667551,2715.171148
6.875869008,/ɶ/,375.4763721,739.4699286,2593.157799
6.917321111,/i/,375.5871301,667.7109935,2809.576503
7.153029149,/u/,329.9349168,687.5437846,1139.648632
0.833800689,/a/,625.0077653,1120.314964,1461.679158
1.029580598,/ə/,348.6689721,826.4793669,2555.844372
1.412783957,/i/,370.4874246,3103.621586,3462.130644
1.620248106,/a/,746.7930031,1166.274712,1847.952152
1.783795957,/ɶ/,571.5705259,629.5015711,2124.267288
